	B_cells	CD4_Tcells	Macrophages	Tregs	CD8_Tcells	PanCK+_cells	Negative_cells	Total	non_panck	FoxP3_over_CD8	CD8_over_CD68	FoxP3_over_CD4	sample_type	pt_number
1 TUR	-2.27479105048068	-1.8049079075401544	-1.2440788362226751	-1.94726990528484	-1.8335914966378992	-0.2295349746004842	-0.5134494374133076	0.0	-0.3866584926139839	-0.1136784086469408	-0.5895126604152241	-0.1423619977446855	TUR	1
1 Cystectomy	-3.265001614867756	-1.852121256402782	-0.8388758398894997	-2.6379546196020023	-1.9023669201328823	-0.3259538805217811	-0.4515506873299224	0.0	-0.2774587856519045	-0.7355876994691197	-1.063491080243383	-0.7858333631992204	Cystectomy	1
10 TUR	-2.756097306344438	-1.646810515278934	-1.7342374703596355	-2.0973685207866666	-1.4373077982963525	-0.0965569100161688	-0.9503579355157904	0.0	-0.7003740257058317	-0.6600607224903139	0.2969296720632828	-0.4505580055077325	TUR	10
10 Cystectomy	-2.558086646340805	-1.6183014496477286	-1.0568255794039902	-2.0584167972884795	-1.2438164726402454	-0.404164314395966	-0.3712648808479895	0.0	-0.2177466712177944	-0.8146003246482342	-0.1869908932362552	-0.4401153476407511	Cystectomy	10
102 TUR	-3.583886515591084	-2.022218146015599	-0.9547051097125718	-1.7505744278203947	-1.7193173532515318	-0.1745446553281657	-0.7610329027871808	0.0	-0.4802286919618918	-0.0312570745688628	-0.7646122435389601	0.271643718195204	TUR	102
102 Cystectomy	-2.0178291369910664	-1.1069002965278174	-1.2000722064890548	-1.6256418183303838	-0.8472135894163584	-0.5270657035091699	-0.4132152818243578	0.0	-0.1531195687066913	-0.7784282289140254	0.3528586170726964	-0.5187415218025666	Cystectomy	102
103 TUR	-1.919805267545558	-1.4563294434663776	-1.1419455095427502	-1.6340324102441084	-1.3707703977664132	-0.1999124637916874	-0.7351675480698072	0.0	-0.4330702859281238	-0.2632620124776952	-0.2288248882236631	-0.1777029667777309	TUR	103
103 Cystectomy	-2.1553119716291187	-1.484941341390036	-1.1672285384313674	-1.8428081432258867	-1.664305656104987	-0.2680455677510894	-0.4992769356025637	0.0	-0.3367262558645705	-0.1785024871208997	-0.4970771176736195	-0.3578668018358507	Cystectomy	103
11 TUR	-2.590322289617411	-1.2698232849617574	-1.7046837491322022	-2.8360316636243565	-1.6848828265710676	-0.2188222657544976	-0.5262459238023973	0.0	-0.4025143334523055	-1.1511488370532887	0.0198009225611343	-1.566208378662599	TUR	11
11 Cystectomy	-3.124145787635268	-2.3851891519208754	-1.4635227055774551	-2.5333287123805897	-1.724222212043174	-0.1138948426868336	-0.7705094785779758	0.0	-0.636982263730557	-0.8091065003374156	-0.2606995064657187	-0.1481395604597143	Cystectomy	11
12 TUR	-2.424836336586429	-2.042578073018585	-1.8260629848423289	-2.537890008978302	-2.200063737144656	-0.2278635616092043	-0.4302501629866058	0.0	-0.3890663320418639	-0.3378262718336462	-0.3740007523023271	-0.4953119359597167	TUR	12
12 Cystectomy	-2.307455583383564	-2.07357165661002	-2.023059950260962	-1.4309552953178872	-1.2589490728789496	-0.3503856738919831	-0.3578227101542816	0.0	-0.2567144275400141	-0.1720062224389377	0.7641108773820122	0.6426163612921327	Cystectomy	12
13 TUR	-1.8075079175458248	-1.8925481075948285	-1.9619827471559577	-2.1162198857613523	-1.60444299821504	-0.1095807094650816	-0.8203970866510174	0.0	-0.6516796173379865	-0.5117768875463121	0.3575397489409175	-0.2236717781665239	TUR	13
13 Cystectomy	-2.2614888949926133	-1.50610779919466	-2.0375271973439038	-2.1960212371006023	-1.6901431873915636	-0.1974386480713278	-0.533564487114489	0.0	-0.4373366412471762	-0.5058780497090387	0.3473840099523397	-0.6899134379059423	Cystectomy	13
14 TUR	-2.013994633319532	-1.8702290394517485	-2.319762433954781	-2.005825844242105	-2.1729543963392306	-0.3430177518431169	-0.2996481967341122	0.0	-0.2627392016567652	0.1671285520971255	0.1468080376155501	-0.1355968047903566	TUR	14
