	CD8_T_EFFECTOR	IFNG_signature	TGFB_Mariathasan
60 Cystectomy	0.20741328845181037	0.3406939032900464	0.7609181298333039
48 Cystectomy	0.46990420131901733	0.6103291961857384	0.7891985265937158
24 TUR	0.3904742000556116	0.47016231275749215	0.6313132521185868
3 Cystectomy	0.41614553477254074	0.533163942646299	0.8387401505717952
53 TUR	0.04976436111570886	0.23884323859305664	0.7543305142400796
4 Cystectomy	0.09317889820537012	0.2531286236213709	0.8662056667707568
97 Cystectomy	0.10331461104951756	0.35805244709705164	0.8821294426195098
76 Cystectomy	0.45086044595269714	0.49428999879251395	0.8159011765233894
88 TUR	0.5908298032084172	0.6418639470121922	0.6524786273056865
27 TUR	0.40146085345507654	0.5233147012625764	0.7454383604011836
4 TUR	0.07850097051692465	0.3078066034598345	0.7452834196673473
91 Cystectomy	0.047613821254628916	0.2717887617346756	0.8195397028778987
29 Cystectomy	0.42883397550372176	0.5406953295225008	0.7528438648391651
15 Cystectomy	0.07873802429408262	0.2619397611823324	0.8349246060267372
82 Cystectomy	0.4699442556193909	0.6563814541711972	0.837144135359651
52 Cystectomy	0.0753800699131913	0.27380069941592533	0.7733996874746462
44 Cystectomy	0.15198865550181917	0.3216688528670023	0.7293705384321822
22 Cystectomy	0.0376186888872372	0.2780276653676883	0.7821122067491365
25 Cystectomy	0.07154337027256127	0.24131487102477764	0.8930248372591707
30 TUR	0.31932283752089236	0.419389778232641	0.7195684953563727
79 Cystectomy	0.6499529983337056	0.7344298734410685	0.6660453233496949
61 TUR	0.4050108094468441	0.5318054202468825	0.8143953305916753
36 Cystectomy	0.07429987511170026	0.2949861222312343	0.8692536255632088
31 TUR	0.1636804795812001	0.31233019256517525	0.74021597070761
97 TUR	0.0654150353894727	0.25286328133087677	0.7080160247742464
10 Cystectomy	0.552276863989762	0.6394510195165343	0.8486134853177729
45 Cystectomy	0.06485409490746434	0.31083886083327394	0.7697638720480392
55 TUR	0.19706221104890786	0.3282102747926374	0.6819534438379534
33 Cystectomy	0.6168901827621782	0.7720206083240757	0.7669817171839982
42 TUR	0.270699227270403	0.4620457342271975	0.6724707323525678
16 Cystectomy	0.4349354897933814	0.5184734832149362	0.8867103326213457
1 Cystectomy	0.4346792214610859	0.48775688576624066	0.752359501191442
82 TUR	0.39863183381844947	0.4903170833793735	0.7853629840597152
19 Cystectomy	0.40687691467825	0.5172411631896898	0.7455541156825617
63 Cystectomy	0.4547503328899611	0.5309749613523509	0.7016740308269428
55 Cystectomy	0.200642016844909	0.35886927793371726	0.8235131153781253
8 TUR	0.5693641759422645	0.6652126511808605	0.8124681718888391
64 Cystectomy	0.02687262492313997	0.14399225969070623	0.6079103013654532
69 TUR	0.373989888361992	0.48010267797486994	0.629866231827109
18 TUR	0.5727662084855847	0.65397914258642	0.7719919557615866
35 TUR	0.1460942319335176	0.3016422898550983	0.6958779411461816
26 Cystectomy	0.17354533548095952	0.32021669860424923	0.8657722281727489
22 TUR	0.32876973379219304	0.47717816714488454	0.645447755720671
31 Cystectomy	0.4613227767474743	0.5497457568790937	0.6134599136500035
99 Cystectomy	0.43854315773132563	0.5027588718594116	0.8354753033738793
14 Cystectomy	0.23546283740081148	0.4193513465461084	0.8722039152453678
80 TUR	0.2457790996851051	0.2967407355980593	0.8870425579309815
91 TUR	0.25517286785202214	0.3910488116738289	0.6067468477724153
99 TUR	0.35007702446026473	0.48191923652316815	0.8433236075942846
28 TUR	0.35184723446228916	0.515451520574221	0.640913871817219
43 Cystectomy	0.2153570922415255	0.44496765291665447	0.8519303502473139
9 TUR	0.3608549860161022	0.5185870028761896	0.7469273278357873
